"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H4,H3,H2,H1";"MountingHole_2.7mm_M2.5";4;"MountingHole";;;
2;"D3";"Diode_Bridge_Bourns_CD-DF4xxS";1;"4A";;;
3;"C1,C2";"CP_Elec_10x12.6";2;"330u";;;
4;"U1";"SOP-8_3.9x4.9mm_P1.27mm";1;"SP3485EEN";;;
5;"U2";"TO-263-5_TabPin3";1;"LM2596S-5";;;
6;"R1";"R_0805_2012Metric";1;"1k5";;;
7;"R5,R7";"R_0805_2012Metric";2;"330";;;
8;"R4,R6,R2,R3";"R_0805_2012Metric";4;"6k8";;;
9;"Q2,Q3";"SOT-23";2;"BC857";;;
10;"Q1";"SOT-23";1;"BC847";;;
11;"L1";"L_Sunlord_SWRB1207S";1;"47u";;;
12;"J3";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Screw_Terminal_01x03";;;
13;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
14;"J2";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"AC Power In";;;
15;"F1";"Fuse_1812_4532Metric";1;"2A";;;
16;"D1,D4,D6";"D_0603_1608Metric";3;"LED";;;
17;"D5";"D_SMA";1;"3A";;;
18;"D2";"D_SMC";1;"30V";;;
