Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_10x12.6,2,330u,C128512
C3,0805,1,1u,C24123
"D1, D4, D6",0603,3,LED,C965799
D2,D_SMC,1,SMBJ40CA,C84730
D3,Diode_Bridge_Bourns_CD-DF4xxS,1,MSB40M,C2985033
D5,D_SMA,1,3A,C8678
F1,1812,1,2A,C960026
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5,4,MountingHole,
J1,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,AC Power In,
J3,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Screw_Terminal_01x03,
L1,L_Sunlord_SWRB1207S,1,47u,C2929503
Q1,SOT-23,1,BC847,C181140
"Q2, Q3",SOT-23,2,BC857,C8666
R1,0805,1,1k5,C4310
"R2, R3, R4, R6",0805,4,6k8,C17772
"R5, R7",0805,2,330,C17630
U1,SOP-8_3.9x4.9mm_P1.27mm,1,SP3485EEN,C668205
U2,TO-263-5_TabPin3,1,LM2596S-5,C347421
